sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003838_B03,19,Metazoa,8,42.1,NA,5,"Ascomycota(4),Ascomycota(4),Ascomycota(1),Ascomycota(1),Basidiomycota(1)"
GC1003838_B04,39,Picozoa,39,100,MPN6380,20,
GC1003838_B05,4,MAST-1,3,75,MPN434,3,Ascomycota(1)
GC1003838_B06,11,Choanoflagellata,7,63.6,MPN1329,5,"Ascomycota(1),Ascomycota(1),Kinetoplastea(1),Metazoa(1)"
GC1003838_B07,33,Basidiomycota,16,48.5,NA,16,"Ascomycota(6),Ascomycota(4),Ascomycota(4),Ascomycota(1),MAST-3(1),BasalFungi(1)"
GC1003838_B08,1,Streptophyta,1,100,NA,1,
GC1003838_B09,56,Labyrinthulomycetes,54,96.4,NA,25,"Ascomycota(1),Ascomycota(1)"
GC1003838_B10,30,Ascomycota,28,93.3,NA,26,Basidiomycota(2)
GC1003838_B11,73,Basidiomycota,35,47.9,NA,25,"Ascomycota(10),Ascomycota(9),Ascomycota(8),Ascomycota(2),Ascomycota(1),Picozoa(6),Picozoa(2)"
GC1003838_B12,222,Metazoa,215,96.8,NA,143,"Ascomycota(3),Ascomycota(1),Streptophyta(2),Streptophyta(1)"
GC1003838_C01,95,MAST-3,93,97.9,NA,60,Ciliophora(2)
GC1003838_C02,45,MAST-3,33,73.3,NA,26,"Ascomycota(4),Ascomycota(1),Ascomycota(1),Ascomycota(1),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1)"
GC1003838_C03,6,Basidiomycota,4,66.7,SLVAF026586,3,"Ascomycota(1),Ascomycota(1)"
GC1003838_C04,5,Ascomycota,5,100,SLVU86583,3,
GC1003838_C05,391,Kinetoplastea,378,96.7,SLVGU820754,375,"Ascomycota(7),Ascomycota(4),Ascomycota(2)"
GC1003838_C06,24,Choanoflagellata,16,66.7,NA,10,"Basidiomycota(4),Ascomycota(3),Ascomycota(1)"
GC1003838_C07,16,MAST-3,10,62.5,NA,7,"Basidiomycota(5),Basidiomycota(1)"
GC1003838_C08,24,Choanoflagellata,12,50,NA,8,"Ascomycota(3),Ascomycota(2),Ascomycota(1),Ascomycota(1),Basidiomycota(2),Basidiomycota(2),Basidiomycota(1)"
GC1003838_C09,4,Ascomycota,3,75,SLVJN546132,3,Basidiomycota(1)
GC1003838_C10,24,Ascomycota,12,50,SLVJN546132,11,"Picozoa(5),Picozoa(4),Picozoa(2),Picozoa(1)"
GC1003838_C11,106,Basidiomycota,47,44.3,SLVAF026586,29,"Cercozoa(19),Cercozoa(9),Cercozoa(4),Cercozoa(1),Ascomycota(17),Ascomycota(8),Ascomycota(1)"
GC1003838_C12,327,Ascomycota,295,90.2,NA,136,"Basidiomycota(20),Basidiomycota(10),Basidiomycota(1),Streptophyta(1)"
GC1003838_D01,780,Basidiomycota,767,98.3,NA,634,"Ascomycota(5),Ascomycota(3),Ascomycota(2),Ascomycota(1),Ascomycota(1),MAST-4(1)"
GC1003838_D02,78,Ascomycota,78,100,SLVJN546132,78,
GC1003838_D03,33,MAST-3,19,57.6,NA,11,"Ascomycota(4),Ascomycota(3),Ascomycota(2),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),InSedStramenopiles(1)"
GC1003838_D04,5,Labyrinthulomycetes,2,40,NA,2,"Ascomycota(1),Ascomycota(1),Basidiomycota(1)"
GC1003838_D05,38,Telonemia,24,63.2,NA,16,"Basidiomycota(8),Basidiomycota(1),Ascomycota(2),Ascomycota(1),Ascomycota(1),Ancyromonadida(1)"
GC1003838_D06,176,Ascomycota,150,85.2,SLVDQ979467,102,"Basidiomycota(18),Basidiomycota(4),Basidiomycota(3),MAST-3(1)"
GC1003838_D07,114,Ascomycota,94,82.5,SLVJN546132,67,"Basidiomycota(15),Basidiomycota(1),Cercozoa(4)"
GC1003838_D08,16,Metazoa,12,75,NA,10,"Basidiomycota(2),Ascomycota(1),Ascomycota(1)"
GC1003838_D09,26,Ascomycota,17,65.4,SLVJN546132,13,"Metazoa(6),Basidiomycota(3)"
GC1003838_D10,5,Ascomycota,3,60,SLVJN546132,2,Basidiomycota(2)
GC1003838_D11,94,MAST-1,76,80.9,MPN434,67,"MALV-II(10),MALV-II(2),Basidiomycota(3),Basidiomycota(1),Ascomycota(1),Labyrinthulomycetes(1)"
GC1003838_D12,463,Ascomycota,301,65,SLVJN546132,246,"Basidiomycota(86),Basidiomycota(10),Basidiomycota(9),Basidiomycota(8),Basidiomycota(5),Basidiomycota(4),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1),Labyrinthulomycetes(17),Labyrinthulomycetes(1),Metazoa(12),Metazoa(4),Metazoa(1)"
GC1003838_E01,11,Ascomycota,7,63.6,SLVKC674593,4,Basidiomycota(4)
GC1003838_E02,109,Ascomycota,105,96.3,NA,90,"Basidiomycota(3),Dinoflagellata(1)"
GC1003838_E03,40,Choanoflagellata,17,42.5,NA,13,"Ascomycota(8),Ascomycota(7),Ascomycota(6),Ascomycota(1),Basidiomycota(1)"
GC1003838_E04,3,Ascomycota,1,33.3,NA,1,"Basidiomycota(1),Choanoflagellata(1)"
GC1003838_E05,27,MAST-1,25,92.6,MPN434,25,"Ascomycota(1),Ascomycota(1)"
GC1003838_E06,87,MAST-12,86,98.9,BMK674,80,Ascomycota(1)
GC1003838_E07,52,Basidiomycota,30,57.7,MPN172,20,"Labyrinthulomycetes(13),Ascomycota(4),Ascomycota(2),Ascomycota(2),Kinetoplastea(1)"
GC1003838_E08,153,Ascomycota,117,76.5,NA,67,"MAST-1(23),MAST-1(3),MAST-1(3),MAST-1(2),Basidiomycota(2),Basidiomycota(1),Metazoa(2)"
GC1003838_E09,90,Ascomycota,76,84.4,SLVJN546132,28,"Choanoflagellata(7),Choanoflagellata(2),Choanoflagellata(1),Choanoflagellata(1),Metazoa(2),Ciliophora(1)"
GC1003838_E10,26,MAST-4,4,15.4,MPN3092,4,"Ascomycota(4),Ascomycota(4),Ascomycota(3),Ascomycota(1),Ascomycota(1),Ascomycota(1),Ascomycota(1),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Trebouxiophyceae(1)"
GC1003838_E11,163,Basidiomycota,89,54.6,SLVAF026586,82,"Ascomycota(47),Ascomycota(15),Ascomycota(10),Ascomycota(1),MALV-I(1)"
GC1003838_E12,112,Basidiomycota,80,71.4,NA,49,"Ascomycota(16),Ascomycota(11),Ascomycota(4),MALV-I(1)"
GC1003838_F01,324,MALV-I,319,98.5,MPN84,251,"Ascomycota(3),Basidiomycota(1),MAST-3(1)"
GC1003838_F02,19,Ascomycota,19,100,SLVJN546132,14,
GC1003838_F03,137,Ascomycota,51,37.2,NA,32,"MAST-3(28),Basidiomycota(24),Basidiomycota(13),Basidiomycota(7),Metazoa(12),Metazoa(1),MAST-1(1)"
